레벨,굴러숭이,불꽃숭이,진불꽃숭이,통나무숭이,바위숭이,폭탄숭이,소환숭이,주술사숭이,제사장숭이,숭오공,도사숭이,제천대숭,골렘숭이,골렘숭이mk.2,자이언트숭,양손,바구니,노가다,수레,유모차,마차,자전거,툭툭이,오토바이,카피바라,타조,코끼리,열기구,비행기,UFO
67,512 ,12159 ,6593647290 ,134387 ,6609328301 ,10123914746 ,8088800658 ,48449612168 ,49231745159595 ,16346544621 ,1292096313951 ,89263961238185 ,39048201106021 ,50762134021275 ,235558240313946 ,512 ,12159 ,6593647290 ,134387 ,6609328301 ,10123914746 ,8088800658 ,48449612168 ,49231745159595 ,16346544621 ,1292096313951 ,89263961238185 ,39048201106021 ,50762134021275 ,235558240313946 
68,532 ,12645 ,6857393182 ,139762 ,6873701433 ,10528871336 ,8412352684 ,50387596655 ,51201014965979 ,17000406405 ,1343780166509 ,92834519687713 ,40610129150262 ,52792619382126 ,244980569926504 ,532 ,12645 ,6857393182 ,139762 ,6873701433 ,10528871336 ,8412352684 ,50387596655 ,51201014965979 ,17000406405 ,1343780166509 ,92834519687713 ,40610129150262 ,52792619382126 ,244980569926504 
69,554 ,13151 ,7131688909 ,145353 ,7148649490 ,10950026189 ,8748846792 ,52403100521 ,53249055564618 ,17680422662 ,1397531373169 ,96547900475221 ,42234534316272 ,54904324157411 ,254779792723564 ,554 ,13151 ,7131688909 ,145353 ,7148649490 ,10950026189 ,8748846792 ,52403100521 ,53249055564618 ,17680422662 ,1397531373169 ,96547900475221 ,42234534316272 ,54904324157411 ,254779792723564 
70,576 ,13677 ,7416956465 ,151167 ,7434595470 ,11388027237 ,9098800663 ,54499224542 ,55379017787203 ,18387639568 ,1453432628096 ,100409816494230 ,43923915688923 ,57100497123708 ,264970984432507 ,576 ,13677 ,7416956465 ,151167 ,7434595470 ,11388027237 ,9098800663 ,54499224542 ,55379017787203 ,18387639568 ,1453432628096 ,100409816494230 ,43923915688923 ,57100497123708 ,264970984432507 
71,599 ,14224 ,7713634724 ,157213 ,7731979288 ,11843548327 ,9462752690 ,56679193524 ,57594178498691 ,19123145151 ,1511569933220 ,104426209153999 ,45680872316480 ,59384517008656 ,275569823809807 ,599 ,14224 ,7713634724 ,157213 ,7731979288 ,11843548327 ,9462752690 ,56679193524 ,57594178498691 ,19123145151 ,1511569933220 ,104426209153999 ,45680872316480 ,59384517008656 ,275569823809807 
72,623 ,14793 ,8022180113 ,163502 ,8041258460 ,12317290260 ,9841262797 ,58946361265 ,59897945638639 ,19888070957 ,1572032730549 ,108603257520159 ,47508107209139 ,61759897689002 ,286592616762199 ,623 ,14793 ,8022180113 ,163502 ,8041258460 ,12317290260 ,9841262797 ,58946361265 ,59897945638639 ,19888070957 ,1572032730549 ,108603257520159 ,47508107209139 ,61759897689002 ,286592616762199 
73,648 ,15385 ,8343067318 ,170042 ,8362908798 ,12809981870 ,10234913309 ,61304215715 ,62293863464184 ,20683593795 ,1634914039770 ,112947387820966 ,49408431497505 ,64230293596562 ,298056321432687 ,648 ,15385 ,8343067318 ,170042 ,8362908798 ,12809981870 ,10234913309 ,61304215715 ,62293863464184 ,20683593795 ,1634914039770 ,112947387820966 ,49408431497505 ,64230293596562 ,298056321432687 
74,674 ,16000 ,8676790010 ,176844 ,8697425150 ,13322381145 ,10644309842 ,63756384344 ,64785618002752 ,21510937547 ,1700310601361 ,117465283333804 ,51384768757405 ,66799505340425 ,309978574289995 ,674 ,16000 ,8676790010 ,176844 ,8697425150 ,13322381145 ,10644309842 ,63756384344 ,64785618002752 ,21510937547 ,1700310601361 ,117465283333804 ,51384768757405 ,66799505340425 ,309978574289995 
75,701 ,16640 ,9023861611 ,183918 ,9045322156 ,13855276391 ,11070082235 ,66306639718 ,67377042722862 ,22371375049 ,1768323025416 ,122163894667157 ,53440159507701 ,69471485554042 ,322377717261594 ,701 ,16640 ,9023861611 ,183918 ,9045322156 ,13855276391 ,11070082235 ,66306639718 ,67377042722862 ,22371375049 ,1768323025416 ,122163894667157 ,53440159507701 ,69471485554042 ,322377717261594 
76,729 ,17306 ,9384816075 ,191274 ,9407135042 ,14409487446 ,11512885525 ,68958905307 ,70072124431776 ,23266230051 ,1839055946432 ,127050450453843 ,55577765888009 ,72250344976203 ,335272825952058 ,729 ,17306 ,9384816075 ,191274 ,9407135042 ,14409487446 ,11512885525 ,68958905307 ,70072124431776 ,23266230051 ,1839055946432 ,127050450453843 ,55577765888009 ,72250344976203 ,335272825952058 
77,758 ,17998 ,9760208718 ,198925 ,9783420444 ,14985866944 ,11973400946 ,71717261519 ,72875009409047 ,24196879253 ,1912618184290 ,132132468471996 ,57800876523530 ,75140358775252 ,348683738990141 ,758 ,17998 ,9760208718 ,198925 ,9783420444 ,14985866944 ,11973400946 ,71717261519 ,72875009409047 ,24196879253 ,1912618184290 ,132132468471996 ,57800876523530 ,75140358775252 ,348683738990141 
78,788 ,18718 ,10150617067 ,206882 ,10174757262 ,15585301622 ,12452336984 ,74585951980 ,75790009785409 ,25164754423 ,1989122911661 ,137417767210876 ,60112911584471 ,78145973126262 ,362631088549746 ,788 ,18718 ,10150617067 ,206882 ,10174757262 ,15585301622 ,12452336984 ,74585951980 ,75790009785409 ,25164754423 ,1989122911661 ,137417767210876 ,60112911584471 ,78145973126262 ,362631088549746 
79,820 ,19467 ,10556641749 ,215157 ,10581747552 ,16208713687 ,12950430463 ,77569390059 ,78821610176825 ,26171344600 ,2068687828128 ,142914477899311 ,62517428047850 ,81271812051312 ,377136332091736 ,820 ,19467 ,10556641749 ,215157 ,10581747552 ,16208713687 ,12950430463 ,77569390059 ,78821610176825 ,26171344600 ,2068687828128 ,142914477899311 ,62517428047850 ,81271812051312 ,377136332091736 
80,852 ,20245 ,10978907419 ,223764 ,11005017454 ,16857062234 ,13468447681 ,80672165661 ,81974474583898 ,27218198384 ,2151435341253 ,148631057015284 ,65018125169764 ,84522684533365 ,392221785375405 ,852 ,20245 ,10978907419 ,223764 ,11005017454 ,16857062234 ,13468447681 ,80672165661 ,81974474583898 ,27218198384 ,2151435341253 ,148631057015284 ,65018125169764 ,84522684533365 ,392221785375405 
81,887 ,21055 ,11418063716 ,232714 ,11445218153 ,17531344724 ,14007185589 ,83899052288 ,85253453567254 ,28306926319 ,2237492754903 ,154576299295895 ,67618850176554 ,87903591914699 ,407910656790422 ,887 ,21055 ,11418063716 ,232714 ,11445218153 ,17531344724 ,14007185589 ,83899052288 ,85253453567254 ,28306926319 ,2237492754903 ,154576299295895 ,67618850176554 ,87903591914699 ,407910656790422 
82,922 ,21897 ,11874786265 ,242023 ,11903026879 ,18232598512 ,14567473012 ,87255014379 ,88663591709945 ,29439203372 ,2326992465099 ,160759351267731 ,70323604183617 ,91419735591287 ,424227083062039 ,922 ,21897 ,11874786265 ,242023 ,11903026879 ,18232598512 ,14567473012 ,87255014379 ,88663591709945 ,29439203372 ,2326992465099 ,160759351267731 ,70323604183617 ,91419735591287 ,424227083062039 
83,959 ,22773 ,12349777715 ,251704 ,12379147954 ,18961902453 ,15150171933 ,90745214954 ,92210135378342 ,30616771507 ,2420072163703 ,167189725318440 ,73136548350961 ,95076525014939 ,441196166384520 ,959 ,22773 ,12349777715 ,251704 ,12379147954 ,18961902453 ,15150171933 ,90745214954 ,92210135378342 ,30616771507 ,2420072163703 ,167189725318440 ,73136548350961 ,95076525014939 ,441196166384520 
84,997 ,23684 ,12843768824 ,261772 ,12874313872 ,19720378551 ,15756178810 ,94375023552 ,95898540793476 ,31841442367 ,2516875050251 ,173877314331178 ,76062010285000 ,98879586015536 ,458844013039901 ,997 ,23684 ,12843768824 ,261772 ,12874313872 ,19720378551 ,15756178810 ,94375023552 ,95898540793476 ,31841442367 ,2516875050251 ,173877314331178 ,76062010285000 ,98879586015536 ,458844013039901 
85,1037 ,24631 ,13357519577 ,272243 ,13389286427 ,20509193693 ,16386425962 ,98150024494 ,99734482425215 ,33115100062 ,2617550052261 ,180832406904425 ,79104490696400 ,102834769456158 ,477197773561497 ,1037 ,24631 ,13357519577 ,272243 ,13389286427 ,20509193693 ,16386425962 ,98150024494 ,99734482425215 ,33115100062 ,2617550052261 ,180832406904425 ,79104490696400 ,102834769456158 ,477197773561497 
86,1079 ,25617 ,13891820360 ,283133 ,13924857884 ,21329561441 ,17041883001 ,102076025474 ,103723861722224 ,34439704064 ,2722252054352 ,188065703180602 ,82268670324256 ,106948160234404 ,496285684503957 ,1079 ,25617 ,13891820360 ,283133 ,13924857884 ,21329561441 ,17041883001 ,102076025474 ,103723861722224 ,34439704064 ,2722252054352 ,188065703180602 ,82268670324256 ,106948160234404 ,496285684503957 
87,1122 ,26641 ,14447493175 ,294458 ,14481852199 ,22182743898 ,17723558321 ,106159066493 ,107872816191113 ,35817292227 ,2831142136526 ,195588331307826 ,85559417137226 ,111226086643780 ,516137111884115 ,1122 ,26641 ,14447493175 ,294458 ,14481852199 ,22182743898 ,17723558321 ,106159066493 ,107872816191113 ,35817292227 ,2831142136526 ,195588331307826 ,85559417137226 ,111226086643780 ,516137111884115 
88,1167 ,27707 ,15025392902 ,306236 ,15061126287 ,23070053654 ,18432500654 ,110405429153 ,112187728838757 ,37249983916 ,2944387821987 ,203411864560139 ,88981793822715 ,115675130109531 ,536782596359480 ,1167 ,27707 ,15025392902 ,306236 ,15061126287 ,23070053654 ,18432500654 ,110405429153 ,112187728838757 ,37249983916 ,2944387821987 ,203411864560139 ,88981793822715 ,115675130109531 ,536782596359480 
89,1213 ,28815 ,15626408618 ,318486 ,15663571339 ,23992855801 ,19169800680 ,114821646319 ,116675237992307 ,38739983273 ,3062163334866 ,211548339142545 ,92541065575623 ,120302135313912 ,558253900213859 ,1213 ,28815 ,15626408618 ,318486 ,15663571339 ,23992855801 ,19169800680 ,114821646319 ,116675237992307 ,38739983273 ,3062163334866 ,211548339142545 ,92541065575623 ,120302135313912 ,558253900213859 
90,1262 ,29968 ,16251464962 ,331225 ,16290114192 ,24952570033 ,19936592707 ,119414512172 ,121342247512000 ,40289582604 ,3184649868261 ,220010272708247 ,96242708198648 ,125114220726469 ,580584056222413 ,1262 ,29968 ,16251464962 ,331225 ,16290114192 ,24952570033 ,19936592707 ,119414512172 ,121342247512000 ,40289582604 ,3184649868261 ,220010272708247 ,96242708198648 ,125114220726469 ,580584056222413 
91,1312 ,31167 ,16901523561 ,344474 ,16941718760 ,25950672834 ,20734056415 ,124191092659 ,126195937412480 ,41901165908 ,3312035862991 ,228810683616576 ,100092416526594 ,130118789555528 ,603807418471310 ,1312 ,31167 ,16901523561 ,344474 ,16941718760 ,25950672834 ,20734056415 ,124191092659 ,126195937412480 ,41901165908 ,3312035862991 ,228810683616576 ,100092416526594 ,130118789555528 ,603807418471310 
92,1365 ,32413 ,17577584503 ,358253 ,17619387510 ,26988699747 ,21563418672 ,129158736365 ,131243774908979 ,43577212544 ,3444517297511 ,237963110961240 ,104096113187658 ,135323541137749 ,627959715210162 ,1365 ,32413 ,17577584503 ,358253 ,17619387510 ,26988699747 ,21563418672 ,129158736365 ,131243774908979 ,43577212544 ,3444517297511 ,237963110961240 ,104096113187658 ,135323541137749 ,627959715210162 
93,1419 ,33710 ,18280687883 ,372583 ,18324163011 ,28068247737 ,22425955419 ,134325085820 ,136493525905338 ,45320301046 ,3582297989411 ,247481635399689 ,108259957715164 ,140736482783259 ,653078103818569 ,1419 ,33710 ,18280687883 ,372583 ,18324163011 ,28068247737 ,22425955419 ,134325085820 ,136493525905338 ,45320301046 ,3582297989411 ,247481635399689 ,108259957715164 ,140736482783259 ,653078103818569 
94,1476 ,35058 ,19011915399 ,387486 ,19057129531 ,29190977647 ,23322993636 ,139698089252 ,141953266941551 ,47133113088 ,3725589908988 ,257380900815677 ,112590356023771 ,146365942094589 ,679201227971312 ,1476 ,35058 ,19011915399 ,387486 ,19057129531 ,29190977647 ,23322993636 ,139698089252 ,141953266941551 ,47133113088 ,3725589908988 ,257380900815677 ,112590356023771 ,146365942094589 ,679201227971312 
95,1535 ,36461 ,19772392015 ,402986 ,19819414713 ,30358616753 ,24255913381 ,145286012822 ,147631397619214 ,49018437611 ,3874613505347 ,267676136848304 ,117093970264722 ,152220579778373 ,706369277090164 ,1535 ,36461 ,19772392015 ,402986 ,19819414713 ,30358616753 ,24255913381 ,145286012822 ,147631397619214 ,49018437611 ,3874613505347 ,267676136848304 ,117093970264722 ,152220579778373 ,706369277090164 
96,1597 ,37919 ,20563287695 ,419105 ,20612191301 ,31572961423 ,25226149916 ,151097453335 ,153536653523982 ,50979175116 ,4029598045561 ,278383182322236 ,121777729075311 ,158309402969508 ,734624048173771 ,1597 ,37919 ,20563287695 ,419105 ,20612191301 ,31572961423 ,25226149916 ,151097453335 ,153536653523982 ,50979175116 ,4029598045561 ,278383182322236 ,121777729075311 ,158309402969508 ,734624048173771 
97,1660 ,39436 ,21385819203 ,435870 ,21436678953 ,32835879880 ,26235195913 ,157141351469 ,159678119664941 ,53018342120 ,4190781967384 ,289518509615125 ,126648838238323 ,164641779088288 ,764009010100722 ,1660 ,39436 ,21385819203 ,435870 ,21436678953 ,32835879880 ,26235195913 ,157141351469 ,159678119664941 ,53018342120 ,4190781967384 ,289518509615125 ,126648838238323 ,164641779088288 ,764009010100722 
98,1727 ,41013 ,22241251971 ,453304 ,22294146111 ,34149315075 ,27284603749 ,163427005528 ,166065244451539 ,55139075805 ,4358413246079 ,301099249999730 ,131714791767856 ,171227450251819 ,794569370504750 ,1727 ,41013 ,22241251971 ,453304 ,22294146111 ,34149315075 ,27284603749 ,163427005528 ,166065244451539 ,55139075805 ,4358413246079 ,301099249999730 ,131714791767856 ,171227450251819 ,794569370504750 
99,1796 ,42654 ,23130902050 ,471437 ,23185911956 ,35515287678 ,28375987899 ,169964085749 ,172707854229601 ,57344638837 ,4532749775922 ,313143219999720 ,136983383438570 ,178076548261892 ,826352145324940 ,1796 ,42654 ,23130902050 ,471437 ,23185911956 ,35515287678 ,28375987899 ,169964085749 ,172707854229601 ,57344638837 ,4532749775922 ,313143219999720 ,136983383438570 ,178076548261892 ,826352145324940 
100,1868 ,44360 ,24056138132 ,490294 ,24113348434 ,36935899185 ,29511027415 ,176762649179 ,179616168398785 ,59638424391 ,4714059766959 ,325668948799708 ,142462718776113 ,185199610192368 ,859406231137938 ,1868 ,44360 ,24056138132 ,490294 ,24113348434 ,36935899185 ,29511027415 ,176762649179 ,179616168398785 ,59638424391 ,4714059766959 ,325668948799708 ,142462718776113 ,185199610192368 ,859406231137938 
101,1942 ,46134 ,25018383657 ,509906 ,25077882371 ,38413335152 ,30691468512 ,183833155146 ,186800815134736 ,62023961366 ,4902622157637 ,338695706751697 ,148161227527158 ,192607594600063 ,893782480383456 ,1942 ,46134 ,25018383657 ,509906 ,25077882371 ,38413335152 ,30691468512 ,183833155146 ,186800815134736 ,62023961366 ,4902622157637 ,338695706751697 ,148161227527158 ,192607594600063 ,893782480383456 
102,2020 ,47980 ,26019119004 ,530302 ,26080997666 ,39949868558 ,31919127252 ,191186481352 ,194272847740125 ,64504919821 ,5098727043943 ,352243535021765 ,154087676628244 ,200311898384065 ,929533779598794 ,2020 ,47980 ,26019119004 ,530302 ,26080997666 ,39949868558 ,31919127252 ,191186481352 ,194272847740125 ,64504919821 ,5098727043943 ,352243535021765 ,154087676628244 ,200311898384065 ,929533779598794 
103,2101 ,49899 ,27059883764 ,551514 ,27124237573 ,41547863301 ,33195892343 ,198833940606 ,202043761649730 ,67085116614 ,5302676125701 ,366333276422635 ,160251183693374 ,208324374319428 ,966715130782746 ,2101 ,49899 ,27059883764 ,551514 ,27124237573 ,41547863301 ,33195892343 ,198833940606 ,202043761649730 ,67085116614 ,5302676125701 ,366333276422635 ,160251183693374 ,208324374319428 ,966715130782746 
104,2185 ,51895 ,28142279114 ,573575 ,28209207076 ,43209777833 ,34523728036 ,206787298230 ,210125512115720 ,69768521278 ,5514783170729 ,380986607479541 ,166661231041109 ,216657349292205 ,1005383736014060 ,2185 ,51895 ,28142279114 ,573575 ,28209207076 ,43209777833 ,34523728036 ,206787298230 ,210125512115720 ,69768521278 ,5514783170729 ,380986607479541 ,166661231041109 ,216657349292205 ,1005383736014060 
105,2272 ,53971 ,29267970279 ,596518 ,29337575359 ,44938168946 ,35904677158 ,215058790159 ,218530532600348 ,72559262129 ,5735374497558 ,396226071778722 ,173327680282753 ,225323643263893 ,1045599085454620 ,2272 ,53971 ,29267970279 ,596518 ,29337575359 ,44938168946 ,35904677158 ,215058790159 ,218530532600348 ,72559262129 ,5735374497558 ,396226071778722 ,173327680282753 ,225323643263893 ,1045599085454620 
106,2363 ,56129 ,30438689090 ,620378 ,30511078373 ,46735695704 ,37340864244 ,223661141765 ,227271753904362 ,75461632615 ,5964789477460 ,412075114649871 ,180260787494063 ,234336588994449 ,1087423048872800 ,2363 ,56129 ,30438689090 ,620378 ,30511078373 ,46735695704 ,37340864244 ,223661141765 ,227271753904362 ,75461632615 ,5964789477460 ,412075114649871 ,180260787494063 ,234336588994449 ,1087423048872800 
107,2458 ,58375 ,31656236654 ,645193 ,31731521508 ,48605123532 ,38834498814 ,232607587436 ,236362624060537 ,78480097919 ,6203381056559 ,428558119235866 ,187471218993826 ,243710052554227 ,1130919970827710 ,2458 ,58375 ,31656236654 ,645193 ,31731521508 ,48605123532 ,38834498814 ,232607587436 ,236362624060537 ,78480097919 ,6203381056559 ,428558119235866 ,187471218993826 ,243710052554227 ,1130919970827710 
108,2556 ,60710 ,32922486120 ,671001 ,33000782368 ,50549328473 ,40387878766 ,241911890933 ,245817129022958 ,81619301836 ,6451516298821 ,445700444005301 ,194970067753579 ,253458454656396 ,1176156769660820 ,2556 ,60710 ,32922486120 ,671001 ,33000782368 ,50549328473 ,40387878766 ,241911890933 ,245817129022958 ,81619301836 ,6451516298821 ,445700444005301 ,194970067753579 ,253458454656396 ,1176156769660820 
109,2658 ,63138 ,34239385565 ,697841 ,34320813663 ,52571301612 ,42003393917 ,251588366571 ,255649814183877 ,84884073909 ,6709576950774 ,463528461765513 ,202768870463722 ,263596792842652 ,1223203040447260 ,2658 ,63138 ,34239385565 ,697841 ,34320813663 ,52571301612 ,42003393917 ,251588366571 ,255649814183877 ,84884073909 ,6709576950774 ,463528461765513 ,202768870463722 ,263596792842652 ,1223203040447260 
110,2765 ,65664 ,35608960987 ,725755 ,35693646210 ,54674153677 ,43683529674 ,261651901234 ,265875806751232 ,88279436866 ,6977960028805 ,482069600236133 ,210879625282271 ,274140664556358 ,1272131162065150 ,2765 ,65664 ,35608960987 ,725755 ,35693646210 ,54674153677 ,43683529674 ,261651901234 ,265875806751232 ,88279436866 ,6977960028805 ,482069600236133 ,210879625282271 ,274140664556358 ,1272131162065150 
111,2875 ,68290 ,37033319427 ,754785 ,37121392058 ,56861119824 ,45430870861 ,272117977283 ,276510839021281 ,91810614340 ,7257078429957 ,501352384245579 ,219314810293562 ,285106291138612 ,1323016408547750 ,2875 ,68290 ,37033319427 ,754785 ,37121392058 ,56861119824 ,45430870861 ,272117977283 ,276510839021281 ,91810614340 ,7257078429957 ,501352384245579 ,219314810293562 ,285106291138612 ,1323016408547750 
112,2990 ,71022 ,38514652204 ,784976 ,38606247740 ,59135564617 ,47248105695 ,283002696374 ,287571272582132 ,95483038914 ,7547361567155 ,521406479615402 ,228087402705304 ,296510542784157 ,1375937064889660 ,2990 ,71022 ,38514652204 ,784976 ,38606247740 ,59135564617 ,47248105695 ,283002696374 ,287571272582132 ,95483038914 ,7547361567155 ,521406479615402 ,228087402705304 ,296510542784157 ,1375937064889660 
113,3110 ,73863 ,40055238292 ,816375 ,40150497650 ,61500987201 ,49138029923 ,294322804229 ,299074123485418 ,99302360471 ,7849256029841 ,542262738800018 ,237210898813516 ,308370964495523 ,1430974547485250 ,3110 ,73863 ,40055238292 ,816375 ,40150497650 ,61500987201 ,49138029923 ,294322804229 ,299074123485418 ,99302360471 ,7849256029841 ,542262738800018 ,237210898813516 ,308370964495523 ,1430974547485250 
114,3234 ,76817 ,41657447823 ,849031 ,41756517556 ,63961026689 ,51103551120 ,306095716398 ,311037088424834 ,103274454889 ,8163226271035 ,563953248352019 ,246699334766057 ,320705803075344 ,1488213529384660 ,3234 ,76817 ,41657447823 ,849031 ,41756517556 ,63961026689 ,51103551120 ,306095716398 ,311037088424834 ,103274454889 ,8163226271035 ,563953248352019 ,246699334766057 ,320705803075344 ,1488213529384660 
115,3364 ,79890 ,43323745736 ,882992 ,43426778258 ,66519467757 ,53147693165 ,318339545054 ,323478571961828 ,107405433085 ,8489755321876 ,586511378286100 ,256567308156699 ,333534035198357 ,1547742070560050 ,3364 ,79890 ,43323745736 ,882992 ,43426778258 ,66519467757 ,53147693165 ,318339545054 ,323478571961828 ,107405433085 ,8489755321876 ,586511378286100 ,256567308156699 ,333534035198357 ,1547742070560050 
116,3498 ,83085 ,45056695566 ,918311 ,45163849388 ,69180246467 ,55273600891 ,331073126857 ,336417714840301 ,111701650408 ,8829345534751 ,609971833417544 ,266830000482967 ,346875396606292 ,1609651753382450 ,3498 ,83085 ,45056695566 ,918311 ,45163849388 ,69180246467 ,55273600891 ,331073126857 ,336417714840301 ,111701650408 ,8829345534751 ,609971833417544 ,266830000482967 ,346875396606292 ,1609651753382450 
117,3638 ,86409 ,46858963389 ,955044 ,46970403364 ,71947456326 ,57484544927 ,344316051931 ,349874423433913 ,116169716425 ,9182519356142 ,634370706754245 ,277503200502286 ,360750412470543 ,1674037823517750 ,3638 ,86409 ,46858963389 ,955044 ,46970403364 ,71947456326 ,57484544927 ,344316051931 ,349874423433913 ,116169716425 ,9182519356142 ,634370706754245 ,277503200502286 ,360750412470543 ,1674037823517750 
118,3784 ,89865 ,48733321924 ,993246 ,48849219498 ,74825354579 ,59783926724 ,358088694008 ,363869400371269 ,120816505082 ,9549820130387 ,659745535024415 ,288603328522377 ,375180428969365 ,1740999336458460 ,3784 ,89865 ,48733321924 ,993246 ,48849219498 ,74825354579 ,59783926724 ,358088694008 ,363869400371269 ,120816505082 ,9549820130387 ,659745535024415 ,288603328522377 ,375180428969365 ,1740999336458460 
119,3935 ,93460 ,50682654801 ,1032975 ,50803188278 ,77818368762 ,62175283793 ,372412241768 ,378424176386120 ,125649165285 ,9931812935603 ,686135356425392 ,300147461663272 ,390187646128140 ,1810639309916790 ,3935 ,93460 ,50682654801 ,1032975 ,50803188278 ,77818368762 ,62175283793 ,372412241768 ,378424176386120 ,125649165285 ,9931812935603 ,686135356425392 ,300147461663272 ,390187646128140 ,1810639309916790 
120,4093 ,97198 ,52709960993 ,1074294 ,52835315810 ,80931103513 ,64662295144 ,387308731439 ,393561143441565 ,130675131896 ,10329085453027 ,713580770682408 ,312153360129803 ,405795151973265 ,1883064882313470 ,4093 ,97198 ,52709960993 ,1074294 ,52835315810 ,80931103513 ,64662295144 ,387308731439 ,393561143441565 ,130675131896 ,10329085453027 ,713580770682408 ,312153360129803 ,405795151973265 ,1883064882313470 
121,4256 ,101086 ,54818359433 ,1117266 ,54948728442 ,84168347653 ,67248786950 ,402801080697 ,409303589179228 ,135902137172 ,10742248871148 ,742124001509704 ,324639494534995 ,422026958052196 ,1958387477606000 ,4256 ,101086 ,54818359433 ,1117266 ,54948728442 ,84168347653 ,67248786950 ,402801080697 ,409303589179228 ,135902137172 ,10742248871148 ,742124001509704 ,324639494534995 ,422026958052196 ,1958387477606000 
122,4427 ,105129 ,57011093810 ,1161957 ,57146677580 ,87535081559 ,69938738428 ,418913123925 ,425675732746397 ,141338222659 ,11171938825994 ,771808961570092 ,337625074316395 ,438908036374284 ,2036722976710240 ,4427 ,105129 ,57011093810 ,1161957 ,57146677580 ,87535081559 ,69938738428 ,418913123925 ,425675732746397 ,141338222659 ,11171938825994 ,771808961570092 ,337625074316395 ,438908036374284 ,2036722976710240 
123,4604 ,109335 ,59291537563 ,1208435 ,59432544683 ,91036484822 ,72736287965 ,435669648881 ,442702762056253 ,146991751566 ,11618816379034 ,802681320032896 ,351130077289051 ,456464357829255 ,2118191895778650 ,4604 ,109335 ,59291537563 ,1208435 ,59432544683 ,91036484822 ,72736287965 ,435669648881 ,442702762056253 ,146991751566 ,11618816379034 ,802681320032896 ,351130077289051 ,456464357829255 ,2118191895778650 
124,4788 ,113708 ,61663199065 ,1256773 ,61809846470 ,94677944214 ,75645739484 ,453096434837 ,460410872538503 ,152871421628 ,12083569034195 ,834788572834212 ,365175280380613 ,474722932142426 ,2202919571609800 ,4788 ,113708 ,61663199065 ,1256773 ,61809846470 ,94677944214 ,75645739484 ,453096434837 ,460410872538503 ,152871421628 ,12083569034195 ,834788572834212 ,365175280380613 ,474722932142426 ,2202919571609800 
125,4979 ,118256 ,64129727028 ,1307043 ,64282240329 ,98465061983 ,78671569063 ,471220292230 ,478827307440043 ,158986278493 ,12566911795563 ,868180115747580 ,379782291595838 ,493711849428123 ,2291036354474190 ,4979 ,118256 ,64129727028 ,1307043 ,64282240329 ,98465061983 ,78671569063 ,471220292230 ,478827307440043 ,158986278493 ,12566911795563 ,868180115747580 ,379782291595838 ,493711849428123 ,2291036354474190 
126,5178 ,122987 ,66694916109 ,1359325 ,66853529942 ,102403664462 ,81818431826 ,490069103919 ,497980399737645 ,165345729633 ,13069588267385 ,902907320377483 ,394973583259671 ,513460323405248 ,2382677808653160 ,5178 ,122987 ,66694916109 ,1359325 ,66853529942 ,102403664462 ,81818431826 ,490069103919 ,497980399737645 ,165345729633 ,13069588267385 ,902907320377483 ,394973583259671 ,513460323405248 ,2382677808653160 
127,5386 ,127906 ,69362712753 ,1413698 ,69527671140 ,106499811041 ,85091169099 ,509671868076 ,517899615727150 ,171959558818 ,13592371798081 ,939023613192583 ,410772526590058 ,533998736341458 ,2477984920999290 ,5386 ,127906 ,69362712753 ,1413698 ,69527671140 ,106499811041 ,85091169099 ,509671868076 ,517899615727150 ,171959558818 ,13592371798081 ,939023613192583 ,410772526590058 ,533998736341458 ,2477984920999290 
128,5601 ,133022 ,72137221263 ,1470246 ,72308777985 ,110759803482 ,88494815863 ,530058742799 ,538615600356237 ,178837941171 ,14136066670004 ,976584557720286 ,427203427653660 ,555358685795116 ,2577104317839260 ,5601 ,133022 ,72137221263 ,1470246 ,72308777985 ,110759803482 ,88494815863 ,530058742799 ,538615600356237 ,178837941171 ,14136066670004 ,976584557720286 ,427203427653660 ,555358685795116 ,2577104317839260 
129,5825 ,138343 ,75022710114 ,1529056 ,75201129105 ,115190195622 ,92034608497 ,551261092511 ,560160224370486 ,185991458818 ,14701509336804 ,1015647940029100 ,444291564759807 ,577573033226920 ,2680188490552830 ,5825 ,138343 ,75022710114 ,1529056 ,75201129105 ,115190195622 ,92034608497 ,551261092511 ,560160224370486 ,185991458818 ,14701509336804 ,1015647940029100 ,444291564759807 ,577573033226920 ,2680188490552830 
130,6058 ,143877 ,78023618518 ,1590218 ,78209174269 ,119797803447 ,95715992837 ,573311536212 ,582566633345305 ,193431117171 ,15289569710276 ,1056273857630260 ,462063227350199 ,600675954555997 ,2787396030174940 ,6058 ,143877 ,78023618518 ,1590218 ,78209174269 ,119797803447 ,95715992837 ,573311536212 ,582566633345305 ,193431117171 ,15289569710276 ,1056273857630260 ,462063227350199 ,600675954555997 ,2787396030174940 
131,6300 ,149632 ,81144563259 ,1653827 ,81337541240 ,124589715585 ,99544632551 ,596243997660 ,605869298679118 ,201168361857 ,15901152498687 ,1098524811935470 ,480545756444207 ,624702992738237 ,2898891871381940 ,6300 ,149632 ,81144563259 ,1653827 ,81337541240 ,124589715585 ,99544632551 ,596243997660 ,605869298679118 ,201168361857 ,15901152498687 ,1098524811935470 ,480545756444207 ,624702992738237 ,2898891871381940 
